"Tabela 5442 - Rendimento médio real, habitualmente recebido por mês e efetivamente recebido no mês de referência, do trabalho principal, por grupamentos de atividade no trabalho principal"
"Variável - Rendimento médio real do trabalho principal, habitualmente recebido por mês, pelas pessoas de 14 anos ou mais de idade, ocupadas na semana de referência, com rendimento de trabalho (Reais)"
"Grupamento de atividades no trabalho principal - PNADC";"Brasil, Grande Região e Unidade da Federação";"Trimestre";""
"Total";"Ceará";"1º trimestre 2018";"1729"
"Total";"Ceará";"2º trimestre 2018";"1750"
"Total";"Ceará";"3º trimestre 2018";"1803"
"Total";"Ceará";"4º trimestre 2018";"1764"
"Total";"Ceará";"1º trimestre 2019";"1784"
"Total";"Ceará";"2º trimestre 2019";"1827"
"Total";"Ceará";"3º trimestre 2019";"1852"
"Total";"Ceará";"4º trimestre 2019";"1845"
"Total";"Ceará";"1º trimestre 2020";"1809"
"Total";"Ceará";"2º trimestre 2020";"1984"
"Total";"Ceará";"3º trimestre 2020";"1798"
"Total";"Ceará";"4º trimestre 2020";"1826"
"Total";"Ceará";"1º trimestre 2021";"1820"
"Total";"Ceará";"2º trimestre 2021";"1728"
"Total";"Ceará";"3º trimestre 2021";"1742"
"Total";"Ceará";"4º trimestre 2021";"1711"
"Total";"Rio Grande do Norte";"1º trimestre 2018";"1909"
"Total";"Rio Grande do Norte";"2º trimestre 2018";"1857"
"Total";"Rio Grande do Norte";"3º trimestre 2018";"1772"
"Total";"Rio Grande do Norte";"4º trimestre 2018";"1836"
"Total";"Rio Grande do Norte";"1º trimestre 2019";"1893"
"Total";"Rio Grande do Norte";"2º trimestre 2019";"1884"
"Total";"Rio Grande do Norte";"3º trimestre 2019";"1974"
"Total";"Rio Grande do Norte";"4º trimestre 2019";"2104"
"Total";"Rio Grande do Norte";"1º trimestre 2020";"2135"
"Total";"Rio Grande do Norte";"2º trimestre 2020";"2242"
"Total";"Rio Grande do Norte";"3º trimestre 2020";"2097"
"Total";"Rio Grande do Norte";"4º trimestre 2020";"1964"
"Total";"Rio Grande do Norte";"1º trimestre 2021";"1997"
"Total";"Rio Grande do Norte";"2º trimestre 2021";"2046"
"Total";"Rio Grande do Norte";"3º trimestre 2021";"1906"
"Total";"Rio Grande do Norte";"4º trimestre 2021";"1864"
"Total";"Paraíba";"1º trimestre 2018";"1784"
"Total";"Paraíba";"2º trimestre 2018";"1852"
"Total";"Paraíba";"3º trimestre 2018";"1824"
"Total";"Paraíba";"4º trimestre 2018";"1825"
"Total";"Paraíba";"1º trimestre 2019";"1848"
"Total";"Paraíba";"2º trimestre 2019";"1846"
"Total";"Paraíba";"3º trimestre 2019";"1817"
"Total";"Paraíba";"4º trimestre 2019";"1801"
"Total";"Paraíba";"1º trimestre 2020";"1771"
"Total";"Paraíba";"2º trimestre 2020";"1891"
"Total";"Paraíba";"3º trimestre 2020";"2027"
"Total";"Paraíba";"4º trimestre 2020";"2093"
"Total";"Paraíba";"1º trimestre 2021";"1845"
"Total";"Paraíba";"2º trimestre 2021";"1723"
"Total";"Paraíba";"3º trimestre 2021";"1716"
"Total";"Paraíba";"4º trimestre 2021";"1676"
"Total";"Pernambuco";"1º trimestre 2018";"1956"
"Total";"Pernambuco";"2º trimestre 2018";"1972"
"Total";"Pernambuco";"3º trimestre 2018";"1944"
"Total";"Pernambuco";"4º trimestre 2018";"1917"
"Total";"Pernambuco";"1º trimestre 2019";"1948"
"Total";"Pernambuco";"2º trimestre 2019";"1961"
"Total";"Pernambuco";"3º trimestre 2019";"1883"
"Total";"Pernambuco";"4º trimestre 2019";"1901"
"Total";"Pernambuco";"1º trimestre 2020";"1893"
"Total";"Pernambuco";"2º trimestre 2020";"1942"
"Total";"Pernambuco";"3º trimestre 2020";"1943"
"Total";"Pernambuco";"4º trimestre 2020";"1866"
"Total";"Pernambuco";"1º trimestre 2021";"1874"
"Total";"Pernambuco";"2º trimestre 2021";"1876"
"Total";"Pernambuco";"3º trimestre 2021";"1710"
"Total";"Pernambuco";"4º trimestre 2021";"1658"
"Total";"Alagoas";"1º trimestre 2018";"1698"
"Total";"Alagoas";"2º trimestre 2018";"1739"
"Total";"Alagoas";"3º trimestre 2018";"1714"
"Total";"Alagoas";"4º trimestre 2018";"1850"
"Total";"Alagoas";"1º trimestre 2019";"1814"
"Total";"Alagoas";"2º trimestre 2019";"1830"
"Total";"Alagoas";"3º trimestre 2019";"1738"
"Total";"Alagoas";"4º trimestre 2019";"1697"
"Total";"Alagoas";"1º trimestre 2020";"1758"
"Total";"Alagoas";"2º trimestre 2020";"1679"
"Total";"Alagoas";"3º trimestre 2020";"1617"
"Total";"Alagoas";"4º trimestre 2020";"1729"
"Total";"Alagoas";"1º trimestre 2021";"1692"
"Total";"Alagoas";"2º trimestre 2021";"1662"
"Total";"Alagoas";"3º trimestre 2021";"1774"
"Total";"Alagoas";"4º trimestre 2021";"1665"
"Total";"Sergipe";"1º trimestre 2018";"1869"
"Total";"Sergipe";"2º trimestre 2018";"1781"
"Total";"Sergipe";"3º trimestre 2018";"1862"
"Total";"Sergipe";"4º trimestre 2018";"1817"
"Total";"Sergipe";"1º trimestre 2019";"1803"
"Total";"Sergipe";"2º trimestre 2019";"1768"
"Total";"Sergipe";"3º trimestre 2019";"1748"
"Total";"Sergipe";"4º trimestre 2019";"1697"
"Total";"Sergipe";"1º trimestre 2020";"1814"
"Total";"Sergipe";"2º trimestre 2020";"1936"
"Total";"Sergipe";"3º trimestre 2020";"1853"
"Total";"Sergipe";"4º trimestre 2020";"1959"
"Total";"Sergipe";"1º trimestre 2021";"1767"
"Total";"Sergipe";"2º trimestre 2021";"1911"
"Total";"Sergipe";"3º trimestre 2021";"1792"
"Total";"Sergipe";"4º trimestre 2021";"1746"
"Total";"Bahia";"1º trimestre 2018";"1803"
"Total";"Bahia";"2º trimestre 2018";"1737"
"Total";"Bahia";"3º trimestre 2018";"1769"
"Total";"Bahia";"4º trimestre 2018";"1781"
"Total";"Bahia";"1º trimestre 2019";"1732"
"Total";"Bahia";"2º trimestre 2019";"1710"
"Total";"Bahia";"3º trimestre 2019";"1691"
"Total";"Bahia";"4º trimestre 2019";"1752"
"Total";"Bahia";"1º trimestre 2020";"1812"
"Total";"Bahia";"2º trimestre 2020";"1945"
"Total";"Bahia";"3º trimestre 2020";"1888"
"Total";"Bahia";"4º trimestre 2020";"1717"
"Total";"Bahia";"1º trimestre 2021";"1661"
"Total";"Bahia";"2º trimestre 2021";"1705"
"Total";"Bahia";"3º trimestre 2021";"1589"
"Total";"Bahia";"4º trimestre 2021";"1509"
"Total";"Minas Gerais";"1º trimestre 2018";"2246"
"Total";"Minas Gerais";"2º trimestre 2018";"2238"
"Total";"Minas Gerais";"3º trimestre 2018";"2210"
"Total";"Minas Gerais";"4º trimestre 2018";"2180"
"Total";"Minas Gerais";"1º trimestre 2019";"2185"
"Total";"Minas Gerais";"2º trimestre 2019";"2186"
"Total";"Minas Gerais";"3º trimestre 2019";"2169"
"Total";"Minas Gerais";"4º trimestre 2019";"2205"
"Total";"Minas Gerais";"1º trimestre 2020";"2229"
"Total";"Minas Gerais";"2º trimestre 2020";"2339"
"Total";"Minas Gerais";"3º trimestre 2020";"2294"
"Total";"Minas Gerais";"4º trimestre 2020";"2279"
"Total";"Minas Gerais";"1º trimestre 2021";"2260"
"Total";"Minas Gerais";"2º trimestre 2021";"2215"
"Total";"Minas Gerais";"3º trimestre 2021";"2200"
"Total";"Minas Gerais";"4º trimestre 2021";"2138"
"Total";"Espírito Santo";"1º trimestre 2018";"2392"
"Total";"Espírito Santo";"2º trimestre 2018";"2298"
"Total";"Espírito Santo";"3º trimestre 2018";"2395"
"Total";"Espírito Santo";"4º trimestre 2018";"2403"
