"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Tabela 4093 - Pessoas de 14 anos ou mais de idade, total, na força de trabalho, ocupadas, desocupadas, fora da força de trabalho, e respectivas taxas e níveis, por sexo"
"Variável - Pessoas de 14 anos ou mais de idade, ocupadas na semana de referência (Mil pessoas)"
"Brasil, Grande Região e Unidade da Federação";"Trimestre x Sexo"
"Brasil, Grande Região e Unidade da Federação";"1º trimestre 2018";"2º trimestre 2018";"3º trimestre 2018";"4º trimestre 2018";"1º trimestre 2019";"2º trimestre 2019";"3º trimestre 2019";"4º trimestre 2019";"1º trimestre 2020";"2º trimestre 2020";"3º trimestre 2020";"4º trimestre 2020";"1º trimestre 2021";"2º trimestre 2021";"3º trimestre 2021";"4º trimestre 2021"
"Brasil, Grande Região e Unidade da Federação";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total";"Total"
"Brasil";"90879";"91462";"92930";"93534";"92621";"94159";"94737";"95515";"93115";"84051";"83439";"87225";"87082";"89384";"92976";"95747"
"Norte";"7067";"7126";"7253";"7321";"7178";"7331";"7422";"7493";"7373";"...";"...";"...";"...";"...";"...";"..."
"Nordeste";"20788";"20853";"21363";"21404";"21120";"21458";"21536";"21744";"21033";"...";"...";"...";"...";"...";"...";"..."
"Sudeste";"40903";"41284";"41853";"42010";"41740";"42537";"42880";"43086";"42010";"...";"...";"...";"...";"...";"...";"..."
"Sul";"14586";"14550";"14689";"14946";"14851";"14967";"14965";"15257";"14940";"...";"...";"...";"...";"...";"...";"..."
"Centro-Oeste";"7534";"7648";"7772";"7853";"7733";"7866";"7934";"7934";"7759";"...";"...";"...";"...";"...";"...";"..."
"Rondônia";"765";"768";"788";"796";"792";"809";"812";"810";"817";"...";"...";"...";"...";"...";"...";"..."
"Acre";"307";"303";"311";"316";"292";"309";"309";"304";"293";"...";"...";"...";"...";"...";"...";"..."
"Amazonas";"1543";"1518";"1573";"1566";"1548";"1622";"1642";"1654";"1629";"...";"...";"...";"...";"...";"...";"..."
"Roraima";"213";"212";"211";"217";"218";"211";"212";"217";"212";"...";"...";"...";"...";"...";"...";"..."
"Pará";"3324";"3403";"3414";"3469";"3392";"3403";"3471";"3521";"3457";"...";"...";"...";"...";"...";"...";"..."
"Amapá";"290";"289";"312";"302";"305";"333";"325";"331";"320";"...";"...";"...";"...";"...";"...";"..."
"Tocantins";"626";"633";"643";"655";"631";"644";"650";"656";"644";"...";"...";"...";"...";"...";"...";"..."
"Maranhão";"2258";"2222";"2257";"2273";"2163";"2236";"2274";"2330";"2212";"...";"...";"...";"...";"...";"...";"..."
"Piauí";"1214";"1236";"1273";"1280";"1264";"1276";"1340";"1303";"1233";"...";"...";"...";"...";"...";"...";"..."
"Ceará";"3566";"3576";"3694";"3705";"3646";"3705";"3706";"3790";"3630";"...";"...";"...";"...";"...";"...";"..."
"Rio Grande do Norte";"1289";"1319";"1366";"1337";"1308";"1346";"1333";"1335";"1321";"...";"...";"...";"...";"...";"...";"..."
"Paraíba";"1504";"1510";"1541";"1532";"1494";"1492";"1506";"1489";"1440";"...";"...";"...";"...";"...";"...";"..."
"Pernambuco";"3468";"3500";"3508";"3581";"3573";"3553";"3541";"3646";"3517";"...";"...";"...";"...";"...";"...";"..."
"Alagoas";"939";"941";"978";"1000";"1008";"1060";"1042";"1028";"1019";"...";"...";"...";"...";"...";"...";"..."
